id,kind,chapter,section,deck,promptLine,answer,tags,choice_A,choice_B,choice_C,choice_D,difficulty
ch2-core4-014,vocab,2,"Description","Core 4","too","tài — 太",describe,"tài — 太","gèng — 更","hěn — 很","fēicháng — 非常",1
ch2-core4-015,vocab,2,"Description","Core 4","more","gèng — 更",describe,"fēicháng — 非常","gèng — 更","tài — 太","hěn — 很",1
ch2-core4-016,vocab,2,"Description","Core 4","extremely","fēicháng — 非常",describe,"hěn — 很","tài — 太","gèng — 更","fēicháng — 非常",1
ch2-phrases-core4-001,vocab,2,"Description","Core 4 phrases","wǒ hěn hǎo — 我很好","I am very good.",phrases|describe,"I am very good.","I am too good.","I am more good.","I am extremely good.",2
ch2-phrases-core4-002,vocab,2,"Description","Core 4 phrases","tā hěn máng — 他很忙","He is very busy.",phrases|describe,"He is very busy.","He is too busy.","He is more busy.","He is extremely busy.",2
ch2-phrases-core4-003,vocab,2,"Description","Core 4 phrases","zhèlǐ fēicháng hǎo — 这里非常好","This place is extremely good.",phrases|describe,"This place is too good.","This place is extremely good.","This place is more good.","This place is very good.",2
ch2-phrases-core4-004,vocab,2,"Description","Core 4 phrases","zhège hěn hǎo — 这个很好","This is very good.",phrases|describe,"This is very good.","This is too good.","This is more good.","This is extremely good.",2
ch2-phrases-core4-005,vocab,2,"Description","Core 4 phrases","zhège tài guì — 这个太贵","This is too expensive.",phrases|describe,"This is more expensive.","This is too expensive.","This is very expensive.","This is extremely expensive.",2
ch2-phrases-core4-006,vocab,2,"Description","Core 4 phrases","wǒ tài lèi — 我太累","I am too tired.",phrases|describe,"I am more tired.","I am too tired.","I am very tired.","I am extremely tired.",2
ch2-phrases-core4-007,vocab,2,"Description","Core 4 phrases","zhège gèng hǎo — 这个更好","This is better.",phrases|describe,"This is too good.","This is extremely good.","This is better.","This is very good.",2
ch2-phrases-core4-008,vocab,2,"Description","Core 4 phrases","zhèlǐ gèng hǎo — 这里更好","This place is better.",phrases|describe,"This place is better.","This place is too good.","This place is extremely good.","This place is very good.",2
ch2-phrases-core4-009,vocab,2,"Description","Core 4 Sent","wǒ hěn hǎo, yě hěn máng — 我很好，也很忙","I am very good, and also very busy.",phrases|connect,"I am very good, and also very busy.","I am too good, but very busy.","I am extremely good, so very busy.","I am more good, because very busy.",2
ch2-phrases-core4-010,vocab,2,"Description","Core 4 Sent","wǒ hěn lèi, dànshì wǒ hěn gāoxìng — 我很累，但是我很高兴","I am very tired, but I am very happy.",phrases|connect,"I am very tired, but I am very happy.","I am too tired, and I am very happy.","I am extremely tired, so I am happy.","I am more tired, because I am happy.",2
ch2-phrases-core4-011,vocab,2,"Description","Core 4 Sent","wǒ hěn máng, suǒyǐ wǒ zǒu le — 我很忙，所以我走了","I am very busy, so I left.",phrases|connect,"I am very busy, so I left.","I am very busy, but I left.","I am very busy, because I left.","I am too busy, and I left.",2
ch2-phrases-core4-012,vocab,2,"Description","Core 4 Sent","yīnwèi zhège tài guì, suǒyǐ wǒ bù mǎi — 因为这个太贵，所以我不买","Because this is too expensive, so I won’t buy it.",phrases|connect|describe,"Because this is too expensive, so I won’t buy it.","This is too expensive, but I won’t buy it.","This is extremely expensive, and I will buy it.","This is better, so I won’t buy it.",3
ch2-phrases-core4-013,vocab,2,"Description","Core 4 Sent","yīnwèi wǒ hěn lèi, suǒyǐ wǒ bù qù — 因为我很累，所以我不去","Because I am very tired, so I’m not going.",phrases|connect,"Because I am very tired, so I’m not going.","Because I am very tired, but I’m going.","I am very tired, and I’m not going.","I am extremely tired, so I’m going.",3
ch2-phrases-core4-014,vocab,2,"Description","Core 4 Sent","zhèlǐ fēicháng hǎo, dànshì tài guì — 这里非常好，但是太贵","This place is extremely good, but too expensive.",phrases|connect|describe,"This place is extremely good, but too expensive.","This place is very good, so too expensive.","This place is too good, and extremely expensive.","This place is better, but very expensive.",3
ch2-phrases-core4-015,vocab,2,"Description","Core 4 Sent","wǒ hěn xǐhuān zhèlǐ, yīnwèi zhèlǐ hěn hǎo — 我很喜欢这里，因为这里很好","I like it here a lot, because it’s very good here.",phrases|connect|describe,"I like it here a lot, because it’s very good here.","I like it here a lot, but it’s very good here.","I like it here a lot, so it’s too good here.","I like it here more, because it’s extremely expensive here.",3
ch2-bonus_phrase1-001,vocab,2,"Description","Bonus Phrases 1","wǒ hěn xǐhuān zhèlǐ — 我很喜欢这里","I like it here very much.",phrases,"I like it here very much.","I am here too much.","I go here because I like it.","I don’t like it here.",2
ch2-bonus_phrase1-002,vocab,2,"Description","Bonus Phrases 1","zhège fàndiàn fēicháng hǎo — 这个饭店非常好","This restaurant is extremely good.",phrases,"This restaurant is extremely good.","This restaurant is too good.","This restaurant is more good.","This restaurant is not good.",2
ch2-bonus_phrase1-003,vocab,2,"Description","Bonus Phrases 1","xuéxiào tài dà — 学校太大","The school is too big.",phrases,"The school is very big.","The school is too big.","The school is more big.","The school is extremely big.",2
ch2-bonus_phrase1-004,vocab,2,"Description","Bonus Phrases 1","zhèlǐ hěn máng, dànshì hěn hǎo — 这里很忙，但是很好","It is very busy here, but it is very good.",phrases,"It is very busy here, but it is very good.","It is too busy here, so it is good.","It is more busy here, because it is good.","It is extremely busy here and very bad.",3
ch2-bonus_phrase1-005,vocab,2,"Description","Bonus Phrases 1","yīnwèi zhèlǐ hěn guì, suǒyǐ wǒ bù qù — 因为这里很贵，所以我不去","Because it is very expensive here, I am not going.",phrases,"Because it is very expensive here, I am not going.","It is very expensive here, but I am going.","It is too expensive here, and I am going.","It is more expensive here, so I like it.",3
ch2-bonus_phrase1-006,vocab,2,"Description","Bonus Phrases 1","zhège gōngyuán gèng hǎo — 这个公园更好","This park is better.",phrases,"This park is very good.","This park is too good.","This park is better.","This park is extremely good.",2
ch2-bonus_phrase1-007,vocab,2,"Description","Bonus Phrases 1","zhège diàn hěn guì, dànshì hěn hǎo — 这个店很贵，但是很好","This shop is very expensive, but very good.",phrases,"This shop is very expensive, but very good.","This shop is too expensive, so very good.","This shop is better and very expensive.","This shop is extremely cheap and very good.",2
ch2-core5-001,vocab,2,"Frequency","Core 5","duō — 多","many",quantity,"many","few","always","sometimes",1
ch2-core5-002,vocab,2,"Frequency","Core 5","shǎo — 少","few",quantity,"many","few","every","always",1
ch2-core5-003,vocab,2,"Frequency","Core 5","yìdiǎn — 一点","a little",quantity,"a little","many","always","never",1
ch2-core5-004,vocab,2,"Frequency","Core 5","hěn duō — 很多","many",quantity,"few","many","sometimes","every",1
ch2-core5-005,vocab,2,"Frequency","Core 5","měi — 每","every",frequency,"always","every","few","never",1
ch2-core5-006,vocab,2,"Frequency","Core 5","cháng — 常","often",frequency,"often","always","few","every",1
ch2-core5-007,vocab,2,"Frequency","Core 5","yǒushíhou — 有时候","sometimes",frequency,"always","sometimes","many","every",1
ch2-core5-008,vocab,2,"Frequency","Core 5","zǒngshì — 总是","always",frequency,"sometimes","never","always","few",1
ch2-core5-009,vocab,2,"Frequency","Core 5","many","duō — 多",quantity,"duō — 多","shǎo — 少","měi — 每","zǒngshì — 总是",1
ch2-core5-010,vocab,2,"Frequency","Core 5","few","shǎo — 少",quantity,"duō — 多","shǎo — 少","cháng — 常","měi — 每",1
ch2-core5-011,vocab,2,"Frequency","Core 5","a little","yìdiǎn — 一点",quantity,"hěn duō — 很多","yìdiǎn — 一点","zǒngshì — 总是","yǒushíhou — 有时候",1
ch2-core5-012,vocab,2,"Frequency","Core 5","every","měi — 每",frequency,"měi — 每","cháng — 常","duō — 多","shǎo — 少",1
ch2-core5-013,vocab,2,"Frequency","Core 5","often","cháng — 常",frequency,"měi — 每","zǒngshì — 总是","cháng — 常","duō — 多",1
ch2-core5-014,vocab,2,"Frequency","Core 5","sometimes","yǒushíhou — 有时候",frequency,"yǒushíhou — 有时候","zǒngshì — 总是","měi — 每","duō — 多",1
ch2-core5-015,vocab,2,"Frequency","Core 5","always","zǒngshì — 总是",frequency,"yǒushíhou — 有时候","zǒngshì — 总是","cháng — 常","shǎo — 少",1
ch2-core5-016,vocab,2,"Frequency","Core 5","many (a lot)","hěn duō — 很多",quantity,"yìdiǎn — 一点","hěn duō — 很多","shǎo — 少","měi — 每",1
ch2-core5_phrase-001,vocab,2,"Frequency","Core 5 Phrases","wǒ yǒushíhou qù gōngyuán — 我有时候去公园","I sometimes go to the park.",phrases,"I sometimes go to the park.","I always go to the park.","I never go to the park.","I go to the park every day.",2
ch2-core5_phrase-002,vocab,2,"Frequency","Core 5 Phrases","tā zǒngshì hěn máng — 他总是很忙","He is always busy.",phrases,"He is sometimes busy.","He is always busy.","He is rarely busy.","He is never busy.",2
ch2-core5_phrase-003,vocab,2,"Frequency","Core 5 Phrases","wǒ cháng qù xuéxiào — 我常去学校","I often go to school.",phrases,"I never go to school.","I sometimes go to school.","I often go to school.","I always go to school.",2
ch2-core5_phrase-004,vocab,2,"Frequency","Core 5 Phrases","měi tiān wǒ hěn máng — 每天我很忙","I am busy every day.",phrases,"I am busy every day.","I am busy sometimes.","I am busy never.","I am busy once.",2
ch2-core5_phrase-005,vocab,2,"Frequency","Core 5 Phrases","wǒ yǒu hěn duō péngyou — 我有很多朋友","I have many friends.",phrases,"I have few friends.","I have many friends.","I have one friend.","I have no friends.",2
ch2-core5_phrase-006,vocab,2,"Frequency","Core 5 Phrases","wǒ zhǐ yǒu yìdiǎn qián — 我只有一点钱","I have a little money.",phrases,"I have a lot of money.","I have no money.","I have a little money.","I have many friends.",2
ch2-core5_phrase-007,vocab,2,"Frequency","Core 5 Phrases","tā yǒu shǎo péngyou — 他有少朋友","He has few friends.",phrases,"He has many friends.","He has few friends.","He has no friends.","He has a little money.",2
ch2-core5_phrase-008,vocab,2,"Frequency","Core 5 Phrases","wǒ yǒushíhou hěn lèi — 我有时候很累","I am sometimes tired.",phrases,"I am always tired.","I am sometimes tired.","I am never tired.","I am very busy.",2
ch2-core6-001,vocab,2,"Frequency","Core 6","juéde — 觉得","feel",core6,"feel","ask","wait","bring",2
ch2-core6-002,vocab,2,"Frequency","Core 6","feel","juéde — 觉得",core6,"juéde — 觉得","wèn — 问","děng — 等","jiàn — 见",2
ch2-core6-003,vocab,2,"Frequency","Core 6","wèn — 问","ask",core6,"answer","ask","tell","wait",2
ch2-core6-004,vocab,2,"Frequency","Core 6","ask","wèn — 问",core6,"huídá — 回答","gàosu — 告诉","wèn — 问","dài — 带",2
ch2-core6-005,vocab,2,"Frequency","Core 6","huídá — 回答","answer",core6,"answer","bring","wait","meet",2
ch2-core6-006,vocab,2,"Frequency","Core 6","answer","huídá — 回答",core6,"huídá — 回答","wèn — 问","sòng — 送","děng — 等",2
ch2-core6-007,vocab,2,"Frequency","Core 6","gàosu — 告诉","tell",core6,"tell","meet","bring","stand",2
ch2-core6-008,vocab,2,"Frequency","Core 6","tell","gàosu — 告诉",core6,"gàosu — 告诉","jiàn — 见","zǒu — 走","dài — 带",2
ch2-core6-009,vocab,2,"Frequency","Core 6","děng — 等","wait",core6,"wait","run","wear","sit",2
ch2-core6-010,vocab,2,"Frequency","Core 6","wait","děng — 等",core6,"sòng — 送","děng — 等","dài — 带","jiàn — 见",2
ch2-core6-011,vocab,2,"Frequency","Core 6","dài — 带","bring",core6,"bring","answer","stand","walk",2
ch2-core6-012,vocab,2,"Frequency","Core 6","bring","dài — 带",core6,"dài — 带","huídá — 回答","wèn — 问","sòng — 送",2
ch2-core6-013,vocab,2,"Frequency","Core 6","sòng — 送","give",core6,"give","run","sit","open",2
ch2-core6-014,vocab,2,"Frequency","Core 6","give","sòng — 送",core6,"sòng — 送","děng — 等","dài — 带","gàosu — 告诉",2
ch2-core6-015,vocab,2,"Frequency","Core 6","jiàn — 见","meet",core6,"meet","wear","close","walk",2
ch2-core6-016,vocab,2,"Frequency","Core 6","meet","jiàn — 见",core6,"jiàn — 见","děng — 等","dài — 带","wèn — 问",2
ch2-core6_phrase-001,vocab,2,"Frequency","Core 6 Phrases","wǒ juéde hěn hǎo — 我觉得很好","I feel it is very good.",phrases,"I feel it is very good.","I ask you a question.","I am waiting here.","I will meet him.",2
ch2-core6_phrase-002,vocab,2,"Frequency","Core 6 Phrases","wǒ wèn nǐ yí gè wèntí — 我问你一个问题","I ask you a question.",phrases,"I tell you a story.","I ask you a question.","I bring you a gift.","I wait for you.",2
ch2-core6_phrase-003,vocab,2,"Frequency","Core 6 Phrases","qǐng nǐ huídá wǒ — 请你回答我","Please answer me.",phrases,"Please wait for me.","Please answer me.","Please meet me.","Please bring it.",2
ch2-core6_phrase-004,vocab,2,"Frequency","Core 6 Phrases","tā gàosu wǒ le — 他告诉我了","He told me.",phrases,"He asked me.","He told me.","He met me.","He waited.",2
ch2-core6_phrase-005,vocab,2,"Frequency","Core 6 Phrases","děng wǒ yíxià — 等我一下","Wait for me a moment.",phrases,"Wait for me a moment.","Answer me now.","Meet me at home.","Bring it here.",2
ch2-core6_phrase-006,vocab,2,"Frequency","Core 6 Phrases","wǒ dài nǐ qù gōngyuán — 我带你去公园","I bring you to the park.",phrases,"I give you the park.","I bring you to the park.","I wait at the park.","I ask about the park.",2
ch2-core6_phrase-007,vocab,2,"Frequency","Core 6 Phrases","wǒ míngtiān jiàn tā — 我明天见他","I will meet him tomorrow.",phrases,"I will meet him tomorrow.","I will tell him tomorrow.","I will answer him tomorrow.","I will wait tomorrow.",2
ch2-core7-001,vocab,2,"Times","Core 7","jīntiān — 今天","today",core7,"today","tomorrow","yesterday","now",2
ch2-core7-002,vocab,2,"Times","Core 7","today","jīntiān — 今天",core7,"jīntiān — 今天","míngtiān — 明天","zuótiān — 昨天","xiànzài — 现在",2
ch2-core7-003,vocab,2,"Times","Core 7","míngtiān — 明天","tomorrow",core7,"morning","tomorrow","before","weekend",2
ch2-core7-004,vocab,2,"Times","Core 7","tomorrow","míngtiān — 明天",core7,"zuótiān — 昨天","míngtiān — 明天","jīntiān — 今天","yǐhòu — 以后",2
ch2-core7-005,vocab,2,"Times","Core 7","zuótiān — 昨天","yesterday",core7,"yesterday","later","before","evening",2
ch2-core7-006,vocab,2,"Times","Core 7","yesterday","zuótiān — 昨天",core7,"jīntiān — 今天","zuótiān — 昨天","xiànzài — 现在","zǎoshang — 早上",2
ch2-core7-007,vocab,2,"Times","Core 7","xiànzài — 现在","now",core7,"now","week","year","month",2
ch2-core7-008,vocab,2,"Times","Core 7","now","xiànzài — 现在",core7,"xiànzài — 现在","yǐqián — 以前","yǐhòu — 以后","wǎnshang — 晚上",2
ch2-core7-009,vocab,2,"Times","Core 7","yǐhòu — 以后","later",core7,"before","later","morning","minute",2
ch2-core7-010,vocab,2,"Times","Core 7","later","yǐhòu — 以后",core7,"yǐqián — 以前","yǐhòu — 以后","jīntiān — 今天","zǎoshang — 早上",2
ch2-core7-011,vocab,2,"Times","Core 7","yǐqián — 以前","before",core7,"before","later","week","hour",2
ch2-core7-012,vocab,2,"Times","Core 7","before","yǐqián — 以前",core7,"yǐhòu — 以后","yǐqián — 以前","xiànzài — 现在","wǎnshang — 晚上",2
ch2-core7-013,vocab,2,"Times","Core 7","zǎoshang — 早上","morning",core7,"morning","evening","weekend","minute",2
ch2-core7-014,vocab,2,"Times","Core 7","morning","zǎoshang — 早上",core7,"wǎnshang — 晚上","zǎoshang — 早上","zhōumò — 周末","nián — 年",2
ch2-core7-015,vocab,2,"Times","Core 7","wǎnshang — 晚上","evening",core7,"evening","morning","year","week",2
ch2-core7-016,vocab,2,"Times","Core 7","evening","wǎnshang — 晚上",core7,"zǎoshang — 早上","wǎnshang — 晚上","yuè — 月","zhōu — 周",2
ch2-core8-001,vocab,2,"Times","Core 8","shíhou — 时候","time",core8,"week","time","hour","year",2
ch2-core8-002,vocab,2,"Times","Core 8","time","shíhou — 时候",core8,"shíhou — 时候","zhōu — 周","nián — 年","yuè — 月",2
ch2-core8-003,vocab,2,"Times","Core 8","diǎn — 点","o’clock",core8,"minute","hour","o’clock","weekend",2
ch2-core8-004,vocab,2,"Times","Core 8","o’clock","diǎn — 点",core8,"fēn — 分","diǎn — 点","xiǎoshí — 小时","zhōumò — 周末",2
ch2-core8-005,vocab,2,"Times","Core 8","fēn — 分","minute",core8,"minute","month","year","week",2
ch2-core8-006,vocab,2,"Times","Core 8","minute","fēn — 分",core8,"diǎn — 点","fēn — 分","nián — 年","zhōu — 周",2
ch2-core8-007,vocab,2,"Times","Core 8","xiǎoshí — 小时","hour",core8,"week","hour","month","time",2
ch2-core8-008,vocab,2,"Times","Core 8","hour","xiǎoshí — 小时",core8,"xiǎoshí — 小时","zhōu — 周","yuè — 月","nián — 年",2
ch2-core8-009,vocab,2,"Times","Core 8","zhōu — 周","week",core8,"week","year","month","minute",2
ch2-core8-010,vocab,2,"Times","Core 8","week","zhōu — 周",core8,"nián — 年","zhōu — 周","yuè — 月","shíhou — 时候",2
ch2-core8-011,vocab,2,"Times","Core 8","yuè — 月","month",core8,"year","month","hour","weekend",2
ch2-core8-012,vocab,2,"Times","Core 8","month","yuè — 月",core8,"yuè — 月","nián — 年","zhōu — 周","diǎn — 点",2
ch2-core8-013,vocab,2,"Times","Core 8","nián — 年","year",core8,"month","week","year","time",2
ch2-core8-014,vocab,2,"Times","Core 8","year","nián — 年",core8,"yuè — 月","nián — 年","zhōumò — 周末","fēn — 分",2
ch2-core8-015,vocab,2,"Times","Core 8","zhōumò — 周末","weekend",core8,"weekend","week","morning","later",2
ch2-core8-016,vocab,2,"Times","Core 8","weekend","zhōumò — 周末",core8,"zhōu — 周","zhōumò — 周末","zǎoshang — 早上","xiǎoshí — 小时",2
ch2-core7_phrase-001,vocab,2,"Times","Core 7 Phrases","wǒ jīntiān hěn máng — 我今天很忙","I am very busy today.",phrases,"I am very busy today.","I was busy yesterday.","I will be busy tomorrow.","I am busy now.",2
ch2-core7_phrase-002,vocab,2,"Times","Core 7 Phrases","míngtiān jiàn — 明天见","See you tomorrow.",phrases,"See you yesterday.","See you tomorrow.","See you now.","See you later.",2
ch2-core7_phrase-003,vocab,2,"Times","Core 7 Phrases","zuótiān hěn lèi — 昨天很累","Yesterday was very tiring.",phrases,"Yesterday was very tiring.","Today is very tiring.","Tomorrow is tiring.","Now is tiring.",2
ch2-core7_phrase-004,vocab,2,"Times","Core 7 Phrases","nǐ xiànzài zài nǎr — 你现在在哪儿","Where are you now?",phrases,"Where were you yesterday?","Where are you now?","Where will you be tomorrow?","Where are you later?",2
ch2-core7_phrase-005,vocab,2,"Times","Core 7 Phrases","wǒ yǐhòu gàosu nǐ — 我以后告诉你","I will tell you later.",phrases,"I told you before.","I will tell you later.","I am telling you now.","I will ask you tomorrow.",2
ch2-core7_phrase-006,vocab,2,"Times","Core 7 Phrases","yǐqián wǒ zhù zhèlǐ — 以前我住这里","I lived here before.",phrases,"I will live here.","I lived here before.","I live here now.","I live here later.",2
ch2-core7_phrase-007,vocab,2,"Times","Core 7 Phrases","wǒ zǎoshang qù gōngsī — 我早上去公司","I go to work in the morning.",phrases,"I go to work in the morning.","I go to work at night.","I went yesterday.","I will go later.",2
ch2-core7_phrase-008,vocab,2,"Times","Core 7 Phrases","tā wǎnshang huí jiā — 他晚上回家","He goes home at night.",phrases,"He goes home in the morning.","He goes home at night.","He went home yesterday.","He will go home later.",2
ch2-core8_phrase-001,vocab,2,"Times","Core 8 Phrases","nà gè shíhou wǒ hěn máng — 那个时候我很忙","At that time I was very busy.",phrases,"At that time I was very busy.","I am busy now.","I will be busy later.","I was busy yesterday.",2
ch2-core8_phrase-002,vocab,2,"Times","Core 8 Phrases","zhè gè zhōu wǒ hěn máng — 这个周我很忙","I am busy this week.",phrases,"I was busy last week.","I am busy this week.","I will be busy next week.","I am busy today.",2
ch2-core8_phrase-003,vocab,2,"Times","Core 8 Phrases","zhège yuè wǒ hěn lèi — 这个月我很累","I am tired this month.",phrases,"I was tired last month.","I am tired this month.","I will be tired next month.","I am tired today.",2
ch2-core8_phrase-004,vocab,2,"Times","Core 8 Phrases","jīnnián wǒ hěn máng — 今年我很忙","I am busy this year.",phrases,"I was busy last year.","I am busy this year.","I will be busy next year.","I am busy now.",2
ch2-core8_phrase-005,vocab,2,"Times","Core 8 Phrases","zhōumò wǒ xiǎng xiūxi — 周末我想休息","I want to rest this weekend.",phrases,"I wanted to rest last weekend.","I want to rest this weekend.","I will work this weekend.","I rest every weekend.",2
ch3-s1-num1-001,vocab,3,"Numbers","Numbers 1","líng — 零","Zero",numbers|ch3|sec1,"Zero","One","Two","Ten",1
ch3-s1-num1-002,vocab,3,"Numbers","Numbers 1","yī — 一","One",numbers|ch3|sec1,"Three","One","Four","Six",1
ch3-s1-num1-003,vocab,3,"Numbers","Numbers 1","èr — 二","Two",numbers|ch3|sec1,"Two","Five","Seven","Nine",1
ch3-s1-num1-004,vocab,3,"Numbers","Numbers 1","sān — 三","Three",numbers|ch3|sec1,"Eight","Three","Two","Ten",1
ch3-s1-num1-005,vocab,3,"Numbers","Numbers 1","sì — 四","Four",numbers|ch3|sec1,"Four","Six","Seven","Nine",1
ch3-s1-num1-006,vocab,3,"Numbers","Numbers 1","wǔ — 五","Five",numbers|ch3|sec1,"Two","Five","Eight","One",1
ch3-s1-num1-007,vocab,3,"Numbers","Numbers 1","liù — 六","Six",numbers|ch3|sec1,"Six","Four","Three","Seven",1
ch3-s1-num1-008,vocab,3,"Numbers","Numbers 1","qī — 七","Seven",numbers|ch3|sec1,"Nine","Eight","Seven","Five",1
ch3-s1-num1-009,vocab,3,"Numbers","Numbers 1","bā — 八","Eight",numbers|ch3|sec1,"Six","Eight","Ten","Two",1
ch3-s1-num1-010,vocab,3,"Numbers","Numbers 1","jiǔ — 九","Nine",numbers|ch3|sec1,"Nine","Three","Four","Seven",1
ch3-s1-num1-011,vocab,3,"Numbers","Numbers 1","shí — 十","Ten",numbers|ch3|sec1,"Eight","Ten","Six","Zero",1
ch3-s1-num2-001,vocab,3,"Numbers","Numbers 2","shíyī — 十一","11",numbers|ch3|sec1,"20","11","15","10",2
ch3-s1-num2-002,vocab,3,"Numbers","Numbers 2","11","shíyī — 十一",numbers|ch3|sec1,"èrshí — 二十","shíyī — 十一","yībǎi — 一百","sìshíwǔ — 四十五",2
ch3-s1-num2-003,vocab,3,"Numbers","Numbers 2","èrshí — 二十","20",numbers|ch3|sec1,"12","30","20","25",2
ch3-s1-num2-004,vocab,3,"Numbers","Numbers 2","20","èrshí — 二十",numbers|ch3|sec1,"sìshíwǔ — 四十五","èrshí — 二十","yībǎi — 一百","liǎngbǎi — 两百",2
ch3-s1-num2-005,vocab,3,"Numbers","Numbers 2","sìshíwǔ — 四十五","45",numbers|ch3|sec1,"54","45","40","55",2
ch3-s1-num2-006,vocab,3,"Numbers","Numbers 2","45","sìshíwǔ — 四十五",numbers|ch3|sec1,"sìshíwǔ — 四十五","sānshíwǔ — 三十五","yībǎi — 一百","jiǔbǎijiǔshíjiǔ — 九百九十九",2
ch3-s1-num2-007,vocab,3,"Numbers","Numbers 2","yībǎi — 一百","100",numbers|ch3|sec1,"100","110","200","999",2
ch3-s1-num2-008,vocab,3,"Numbers","Numbers 2","100","yībǎi — 一百",numbers|ch3|sec1,"yībǎishíwǔ — 一百一十五","liǎngbǎi — 两百","yībǎi — 一百","sānbǎi — 三百",2
ch3-s1-num2-009,vocab,3,"Numbers","Numbers 2","yībǎishíwǔ — 一百一十五","115",numbers|ch3|sec1,"105","115","150","151",2
ch3-s1-num2-010,vocab,3,"Numbers","Numbers 2","115","yībǎishíwǔ — 一百一十五",numbers|ch3|sec1,"yībǎishíwǔ — 一百一十五","liǎngbǎi — 两百","sānbǎi — 三百","jiǔbǎijiǔshíjiǔ — 九百九十九",2
ch3-s1-num2-011,vocab,3,"Numbers","Numbers 2","liǎngbǎi — 两百","200",numbers|ch3|sec1,"200","300","250","999",2
ch3-s1-num2-012,vocab,3,"Numbers","Numbers 2","200","liǎngbǎi — 两百",numbers|ch3|sec1,"yībǎi — 一百","liǎngbǎi — 两百","sānbǎi — 三百","jiǔbǎijiǔshíjiǔ — 九百九十九",2
ch3-s1-num2-013,vocab,3,"Numbers","Numbers 2","sānbǎi — 三百","300",numbers|ch3|sec1,"200","300","400","999",2
ch3-s1-num2-014,vocab,3,"Numbers","Numbers 2","300","sānbǎi — 三百",numbers|ch3|sec1,"liǎngbǎi — 两百","yībǎishíwǔ — 一百一十五","sānbǎi — 三百","yībǎi — 一百",2
ch3-s1-num2-015,vocab,3,"Numbers","Numbers 2","jiǔbǎijiǔshíjiǔ — 九百九十九","999",numbers|ch3|sec1,"909","990","999","900",2
ch3-s1-num2-016,vocab,3,"Numbers","Numbers 2","999","jiǔbǎijiǔshíjiǔ — 九百九十九",numbers|ch3|sec1,"jiǔbǎijiǔshíjiǔ — 九百九十九","sānbǎi — 三百","liǎngbǎi — 两百","yībǎi — 一百",2
ch3-s1-day1-001,vocab,3,"Numbers","Days 1","xīngqīyī — 星期一","Monday",days|ch3|sec1,"Wednesday","Monday","Sunday","Friday",2
ch3-s1-day1-002,vocab,3,"Numbers","Days 1","xīngqīsān — 星期三","Wednesday",days|ch3|sec1,"Wednesday","Thursday","Monday","Saturday",2
ch3-s1-day1-003,vocab,3,"Numbers","Days 1","xīngqīwǔ — 星期五","Friday",days|ch3|sec1,"Tuesday","Friday","Sunday","Thursday",2
ch3-s1-day1-004,vocab,3,"Numbers","Days 1","xīngqīrì — 星期日","Sunday",days|ch3|sec1,"Sunday","Saturday","Monday","Friday",2
ch3-s1-day1-005,vocab,3,"Numbers","Days 1","yīyuè — 一月","January",months|ch3|sec1,"April","January","August","December",2
ch3-s1-day1-006,vocab,3,"Numbers","Days 1","sìyuè — 四月","April",months|ch3|sec1,"April","June","August","October",2
ch3-s1-day1-007,vocab,3,"Numbers","Days 1","bāyuè — 八月","August",months|ch3|sec1,"May","August","September","November",2
ch3-s1-day1-008,vocab,3,"Numbers","Days 1","shíèryuè — 十二月","December",months|ch3|sec1,"February","October","December","March",2
ch3-s1-day1-009,vocab,3,"Numbers","Days 1","Monday","xīngqīyī — 星期一",days|ch3|sec1,"xīngqīwǔ — 星期五","xīngqīyī — 星期一","xīngqīrì — 星期日","xīngqīsān — 星期三",2
ch3-s1-day1-010,vocab,3,"Numbers","Days 1","Friday","xīngqīwǔ — 星期五",days|ch3|sec1,"xīngqīwǔ — 星期五","xīngqīsān — 星期三","xīngqīrì — 星期日","xīngqīyī — 星期一",2
ch3-s1-day1-011,vocab,3,"Numbers","Days 1","January","yīyuè — 一月",months|ch3|sec1,"sìyuè — 四月","yīyuè — 一月","bāyuè — 八月","shíèryuè — 十二月",2
ch3-s1-day1-012,vocab,3,"Numbers","Days 1","August","bāyuè — 八月",months|ch3|sec1,"bāyuè — 八月","sìyuè — 四月","yīyuè — 一月","shíèryuè — 十二月",2
ch3-s1-day1-013,vocab,3,"Numbers","Days 1","Sunday","xīngqīrì — 星期日",days|ch3|sec1,"xīngqīsān — 星期三","xīngqīrì — 星期日","xīngqīwǔ — 星期五","xīngqīyī — 星期一",2
ch3-s1-day1-014,vocab,3,"Numbers","Days 1","December","shíèryuè — 十二月",months|ch3|sec1,"bāyuè — 八月","yīyuè — 一月","sìyuè — 四月","shíèryuè — 十二月",2
ch3-s1-day2-001,vocab,3,"Numbers","Days 2","xīngqīèr — 星期二","Tuesday",days|ch3|sec1,"Tuesday","Thursday","Saturday","Monday",2
ch3-s1-day2-002,vocab,3,"Numbers","Days 2","xīngqīsì — 星期四","Thursday",days|ch3|sec1,"Wednesday","Thursday","Friday","Sunday",2
ch3-s1-day2-003,vocab,3,"Numbers","Days 2","xīngqīliù — 星期六","Saturday",days|ch3|sec1,"Saturday","Sunday","Tuesday","Thursday",2
ch3-s1-day2-004,vocab,3,"Numbers","Days 2","èryuè — 二月","February",months|ch3|sec1,"February","March","June","November",2
