id,kind,section,deck,level,promptLine,question,choiceA,choiceB,choiceC,choiceD,correct,explanationA,explanationB,explanationC,explanationD,tags,difficulty
foundation2-countries-007,vocab,Foundation 2,Countries,HSK1,Hán guó — 韩国,What country is this?,Japan,China,Korea,Thailand,C,Japan is 日本 (Rì běn),China is 中国 (Zhōng guó),Correct! 韩国 (Hán guó) means 'Korea' (South Korea),Thailand is 泰国 (Tài guó),countries;hsk1,1
foundation2-countries-008,vocab,Foundation 2,Countries,HSK1,Dé guó — 德国,What country is this?,France,Germany,Austria,Switzerland,B,France is 法国 (Fǎ guó),Correct! 德国 (Dé guó) means 'Germany',Austria is 奥地利 (Ào dì lì),Switzerland is 瑞士 (Ruì shì),countries;hsk1,1
foundation2-countries-009,vocab,Foundation 2,Countries,HSK1,Fǎ guó — 法国,What country is this?,Germany,France,Italy,Spain,B,Germany is 德国 (Dé guó),Correct! 法国 (Fǎ guó) means 'France',Italy is 意大利 (Yì dà lì),Spain is 西班牙 (Xī bān yá),countries;hsk1,1
foundation2-countries-010,vocab,Foundation 2,Countries,HSK1,Xī bān yá — 西班牙,What country is this?,Portugal,Italy,Spain,Mexico,C,Portugal is 葡萄牙 (Pú táo yá),Italy is 意大利 (Yì dà lì),Correct! 西班牙 (Xī bān yá) means 'Spain',Mexico is 墨西哥 (Mò xī gē),countries;hsk1,1
foundation2-countries-011,vocab,Foundation 2,Countries,HSK1,Yì dà lì — 意大利,What country is this?,France,Spain,Italy,Greece,C,France is 法国 (Fǎ guó),Spain is 西班牙 (Xī bān yá),Correct! 意大利 (Yì dà lì) means 'Italy',Greece is 希腊 (Xī là),countries;hsk1,1
foundation2-countries-012,vocab,Foundation 2,Countries,HSK1,É luó sī — 俄罗斯,What country is this?,Poland,Ukraine,Russia,Kazakhstan,C,Poland is 波兰 (Bō lán),Ukraine is 乌克兰 (Wū kè lán),Correct! 俄罗斯 (É luó sī) means 'Russia',Kazakhstan is 哈萨克斯坦 (Hā sà kè sī tǎn),countries;hsk1,1
foundation2-countries-013,vocab,Foundation 2,Countries,HSK1,Bā xī — 巴西,What country is this?,Argentina,Brazil,Mexico,Peru,B,Argentina is 阿根廷 (Ā gēn tíng),Correct! 巴西 (Bā xī) means 'Brazil',Mexico is 墨西哥 (Mò xī gē),Peru is 秘鲁 (Mì lǔ),countries;hsk1,1
foundation2-countries-014,vocab,Foundation 2,Countries,HSK1,Mò xī gē — 墨西哥,What country is this?,United States,Brazil,Mexico,Colombia,C,United States is 美国 (Měi guó),Brazil is 巴西 (Bā xī),Correct! 墨西哥 (Mò xī gē) means 'Mexico',Colombia is 哥伦比亚 (Gē lún bǐ yà),countries;hsk1,1
foundation2-countries-015,vocab,Foundation 2,Countries,HSK1,Yìn dù — 印度,What country is this?,Pakistan,Bangladesh,India,Nepal,C,Pakistan is 巴基斯坦 (Bā jī sī tǎn),Bangladesh is 孟加拉国 (Mèng jiā lā guó),Correct! 印度 (Yìn dù) means 'India',Nepal is 尼泊尔 (Ní bó ěr),countries;hsk1,1
foundation2-dates-001,vocab,Foundation 2,Dates,HSK1,xīng qī yī — 星期一,What day is this?,Monday,Tuesday,Sunday,Friday,A,Correct! 星期一 (xīng qī yī) means 'Monday',Tuesday is 星期二 (xīng qī èr),Sunday is 星期天 (xīng qī tiān),Friday is 星期五 (xīng qī wǔ),dates;time;hsk1,1
foundation2-dates-002,vocab,Foundation 2,Dates,HSK1,xīng qī wǔ — 星期五,What day is this?,Thursday,Friday,Saturday,Sunday,B,Thursday is 星期四 (xīng qī sì),Correct! 星期五 (xīng qī wǔ) means 'Friday',Saturday is 星期六 (xīng qī liù),Sunday is 星期天 (xīng qī tiān),dates;time;hsk1,1
foundation2-dates-003,vocab,Foundation 2,Dates,HSK1,xīng qī tiān — 星期天,What day is this?,Saturday,Monday,Sunday,Friday,C,Saturday is 星期六 (xīng qī liù),Monday is 星期一 (xīng qī yī),Correct! 星期天 (xīng qī tiān) means 'Sunday',Friday is 星期五 (xīng qī wǔ),dates;time;hsk1,1
foundation2-dates-004,vocab,Foundation 2,Dates,HSK1,yī jiǔ jiǔ wǔ nián — 一九九五年,What year is this?,1995,1985,2005,1999,A,Correct! 一九九五年 means '1995',1985 is 一九八五年 (yī jiǔ bā wǔ nián),2005 is 二零零五年 (èr líng líng wǔ nián),1999 is 一九九九年 (yī jiǔ jiǔ jiǔ nián),dates;numbers;hsk1,2
foundation2-dates-005,vocab,Foundation 2,Dates,HSK1,èr líng yī èr nián — 二零一二年,What year is this?,2002,2012,2022,2011,B,2002 is 二零零二年 (èr líng líng èr nián),Correct! 二零一二年 means '2012',2022 is 二零二二年 (èr líng èr èr nián),2011 is 二零一一年 (èr líng yī yī nián),dates;numbers;hsk1,2
foundation2-dates-006,vocab,Foundation 2,Dates,HSK1,sān yuè — 三月,What month is this?,February,March,April,May,B,February is 二月 (èr yuè),Correct! 三月 (sān yuè) means 'March',April is 四月 (sì yuè),May is 五月 (wǔ yuè),dates;time;hsk1,1
foundation2-dates-007,vocab,Foundation 2,Dates,HSK1,qī yuè — 七月,What month is this?,June,July,August,September,B,June is 六月 (liù yuè),Correct! 七月 (qī yuè) means 'July',August is 八月 (bā yuè),September is 九月 (jiǔ yuè),dates;time;hsk1,1
foundation2-dates-008,vocab,Foundation 2,Dates,HSK1,shí yī yuè — 十一月,What month is this?,October,November,December,January,B,October is 十月 (shí yuè),Correct! 十一月 (shí yī yuè) means 'November',December is 十二月 (shí èr yuè),January is 一月 (yī yuè),dates;time;hsk1,1
foundation2-dates-009,vocab,Foundation 2,Dates,HSK1,èr líng yī èr nián qī yuè shí wǔ hào — 二零一二年七月十五号,What date is this?,"July 15, 2012","May 17, 2012","July 25, 2012","June 15, 2012",A,"Correct! 二零一二年七月十五号 means 'July 15, 2012'","May 17, 2012 is 二零一二年五月十七号","July 25, 2012 is 二零一二年七月二十五号","June 15, 2012 is 二零一二年六月十五号",dates;numbers;hsk1,2
foundation2-dates-010,vocab,Foundation 2,Dates,HSK1,yī jiǔ jiǔ wǔ nián shí yī yuè sān hào — 一九九五年十一月三号,What date is this?,"November 3, 1995","November 13, 1995","October 3, 1995","December 3, 1995",A,"Correct! 一九九五年十一月三号 means 'November 3, 1995'","November 13, 1995 is 一九九五年十一月十三号","October 3, 1995 is 一九九五年十月三号","December 3, 1995 is 一九九五年十二月三号",dates;numbers;hsk1,2
foundation2-dates-011,vocab,Foundation 2,Dates,HSK1,nián — 年,What does this mean?,Month,Year,Day,Week,B,Month is 月 (yuè),Correct! 年 (nián) means 'year',Day is 天 (tiān) or 日 (rì),Week is 星期 (xīng qī),dates;time;hsk1,1
foundation2-dates-012,vocab,Foundation 2,Dates,HSK1,yuè — 月,What does this mean?,Year,Month,Day,Week,B,Year is 年 (nián),Correct! 月 (yuè) means 'month' (also 'moon'),Day is 天 (tiān) or 日 (rì),Week is 星期 (xīng qī),dates;time;hsk1,1
foundation2-dates-013,vocab,Foundation 2,Dates,HSK1,hào — 号,What does this mean in dates?,Number,Day (of month),Hour,Minute,B,Number is 数字 (shù zì),Correct! 号 (hào) means 'day of the month' in dates,Hour is 小时 (xiǎo shí),Minute is 分钟 (fēn zhōng),dates;time;hsk1,1
foundation2-dates-014,vocab,Foundation 2,Dates,HSK1,jīn tiān — 今天,What does this mean?,Yesterday,Today,Tomorrow,Now,B,Yesterday is 昨天 (zuó tiān),Correct! 今天 (jīn tiān) means 'today',Tomorrow is 明天 (míng tiān),Now is 现在 (xiàn zài),dates;time;hsk1,1
foundation2-dates-015,vocab,Foundation 2,Dates,HSK1,míng tiān — 明天,What does this mean?,Today,Yesterday,Tomorrow,Next week,C,Today is 今天 (jīn tiān),Yesterday is 昨天 (zuó tiān),Correct! 明天 (míng tiān) means 'tomorrow',Next week is 下星期 (xià xīng qī),dates;time;hsk1,1
dailyactions1-001,vocab,Daily Actions,Common Verbs,HSK1,qù — 去,What does this mean?,To come,To go,To leave,To return,B,To come is 来 (lái),Correct! 去 (qù) means 'to go',To leave is 走 (zǒu),To return is 回 (huí),verb;movement,1
dailyactions1-002,vocab,Daily Actions,Common Verbs,HSK1,lái — 来,What does this mean?,To go,To leave,To come,To arrive,C,To go is 去 (qù),To leave is 走 (zǒu),Correct! 来 (lái) means 'to come',To arrive is 到 (dào),verb;movement,1
dailyactions1-003,vocab,Daily Actions,Common Verbs,HSK1,chī — 吃,What does this mean?,To eat,To drink,To cook,To taste,A,Correct! 吃 (chī) means 'to eat',To drink is 喝 (hē),To cook is 做饭 (zuò fàn),To taste is 尝 (cháng),verb;food,1
dailyactions1-004,vocab,Daily Actions,Common Verbs,HSK1,hē — 喝,What does this mean?,To cook,To eat,To taste,To drink,D,To cook is 做饭 (zuò fàn),To eat is 吃 (chī),To taste is 尝 (cháng),Correct! 喝 (hē) means 'to drink',verb;food,1
dailyactions1-005,vocab,Daily Actions,Common Verbs,HSK1,kàn — 看,What does this mean?,To listen,To see/watch,To read,To look for,B,To listen is 听 (tīng),Correct! 看 (kàn) means 'to see/watch',"To read is also 看 (kàn), but context matters",To look for is 找 (zhǎo),verb;perception,1
dailyactions1-006,vocab,Daily Actions,Common Verbs,HSK1,xiǎng — 想,What does this mean?,To need,To have,To want/think,To do,C,To need is 需要 (xū yào),To have is 有 (yǒu),Correct! 想 (xiǎng) means 'to want' or 'to think',To do is 做 (zuò),verb;mental,1
dailyactions1-007,vocab,Daily Actions,Common Verbs,HSK1,xǐ huān — 喜欢,What does this mean?,To like,To love,To hate,To prefer,A,Correct! 喜欢 (xǐ huān) means 'to like',To love is 爱 (ài),To hate is 讨厌 (tǎo yàn),To prefer is 更喜欢 (gèng xǐ huān),verb;emotion,1
dailyactions1-008,vocab,Daily Actions,Common Verbs,HSK1,yǒu — 有,What does this mean?,To be,To want,To have,To get,C,To be is 是 (shì),To want is 想 (xiǎng) or 要 (yào),Correct! 有 (yǒu) means 'to have',To get is 得到 (dé dào),verb;possession,1
dailyactions1-009,vocab,Daily Actions,Common Verbs,HSK1,zuò — 做,What does this mean?,To sit,To make/do,To go,To work,B,"To sit is 坐 (zuò, same sound, different tone)",Correct! 做 (zuò) means 'to make' or 'to do',To go is 去 (qù),To work is 工作 (gōng zuò),verb;action,1
dailyactions1-010,vocab,Daily Actions,Common Verbs,HSK1,mǎi — 买,What does this mean?,To sell,To buy,To pay,To shop,B,To sell is 卖 (mài),Correct! 买 (mǎi) means 'to buy',To pay is 付钱 (fù qián),To shop is 购物 (gòu wù),verb;shopping,1
dailyactions1-011,vocab,Daily Actions,Common Verbs,HSK1,yòng — 用,What does this mean?,To have,To need,To use,To make,C,To have is 有 (yǒu),To need is 需要 (xū yào),Correct! 用 (yòng) means 'to use',To make is 做 (zuò),verb;action,1
dailyactions1-012,vocab,Daily Actions,Common Verbs,HSK1,gōng zuò — 工作,What does this mean?,To study,To rest,To play,To work,D,To study is 学习 (xué xí),To rest is 休息 (xiū xi),To play is 玩 (wán),Correct! 工作 (gōng zuò) means 'to work' or 'work/job',verb;work,1
dailyactions1-013,vocab,Daily Actions,Common Verbs,HSK1,xué xí — 学习,What does this mean?,To work,To teach,To study,To practice,C,To work is 工作 (gōng zuò),To teach is 教 (jiāo),Correct! 学习 (xué xí) means 'to study',To practice is 练习 (liàn xí),verb;education,1
dailyactions1-014,vocab,Daily Actions,Common Verbs,HSK1,shuì jiào — 睡觉,What does this mean?,To wake up,To sleep,To rest,To lie down,B,To wake up is 起床 (qǐ chuáng) or 醒 (xǐng),Correct! 睡觉 (shuì jiào) means 'to sleep',To rest is 休息 (xiū xi),To lie down is 躺 (tǎng),verb;daily routine,1
dailyactions1-015,vocab,Daily Actions,Common Verbs,HSK1,zuò — 坐,What does this mean?,To stand,To walk,To sit,To lie down,C,To stand is 站 (zhàn),To walk is 走 (zǒu),Correct! 坐 (zuò) means 'to sit',To lie down is 躺 (tǎng),verb;position,1
dailyactions2-001,vocab,Daily Actions,Daily Routines,HSK1,qǐ chuáng — 起床,What does this mean?,To sleep,To wake up/get up,To go to bed,To rest,B,To sleep is 睡觉 (shuì jiào),Correct! 起床 (qǐ chuáng) means 'to wake up/get up',To go to bed is 上床睡觉 (shàng chuáng shuì jiào),To rest is 休息 (xiū xi),phrase;daily routine,1
dailyactions2-002,vocab,Daily Actions,Daily Routines,HSK1,shàng bān — 上班,What does this mean?,To go to work,To finish work,To go to school,To start work,A,Correct! 上班 (shàng bān) means 'to go to work',To finish work is 下班 (xià bān),To go to school is 上学 (shàng xué),"While it can mean start work, 'go to work' is more common",phrase;work,1
dailyactions2-003,vocab,Daily Actions,Daily Routines,HSK1,huí jiā — 回家,What does this mean?,To leave home,To go home,To arrive home,To return,B,To leave home is 离开家 (lí kāi jiā),Correct! 回家 (huí jiā) means 'to go home/return home',To arrive home is 到家 (dào jiā),"To return is 回 (huí), but 回家 specifically means home",phrase;movement,1
dailyactions2-004,vocab,Daily Actions,Daily Routines,HSK1,chī zǎo fàn — 吃早饭,What does this mean?,To eat lunch,To cook breakfast,To eat dinner,To eat breakfast,D,To eat lunch is 吃午饭 (chī wǔ fàn),To cook breakfast is 做早饭 (zuò zǎo fàn),To eat dinner is 吃晚饭 (chī wǎn fàn),Correct! 吃早饭 (chī zǎo fàn) means 'to eat breakfast',phrase;food;daily routine,1
dailyactions2-005,vocab,Daily Actions,Daily Routines,HSK1,chī wǎn fàn — 吃晚饭,What does this mean?,To cook dinner,To eat breakfast,To eat dinner,To eat lunch,C,To cook dinner is 做晚饭 (zuò wǎn fàn),To eat breakfast is 吃早饭 (chī zǎo fàn),Correct! 吃晚饭 (chī wǎn fàn) means 'to eat dinner',To eat lunch is 吃午饭 (chī wǔ fàn),phrase;food;daily routine,1
dailyactions2-006,vocab,Daily Actions,Daily Routines,HSK1,kàn diàn shì — 看电视,What does this mean?,To watch TV,To listen to radio,To watch movies,To read,A,Correct! 看电视 (kàn diàn shì) means 'to watch TV',To listen to radio is 听广播 (tīng guǎng bō),To watch movies is 看电影 (kàn diàn yǐng),To read is 读书 (dú shū) or 看书 (kàn shū),phrase;entertainment,1
dailyactions2-007,vocab,Daily Actions,Daily Routines,HSK1,xiū xi — 休息,What does this mean?,To work,To rest,To sleep,To relax,B,To work is 工作 (gōng zuò),Correct! 休息 (xiū xi) means 'to rest',To sleep is 睡觉 (shuì jiào),"To relax is 放松 (fàng sōng), rest is more general",verb;daily routine,1
dailyactions2-008,vocab,Daily Actions,Daily Routines,HSK1,yùn dòng — 运动,What does this mean?,To run,To walk,To exercise,To play sports,C,To run is 跑步 (pǎo bù),To walk is 走路 (zǒu lù),Correct! 运动 (yùn dòng) means 'to exercise',To play sports is 打球 (dǎ qiú) or similar,verb;health,1
dailyactions2-009,vocab,Daily Actions,Daily Routines,HSK1,xǐ zǎo — 洗澡,What does this mean?,To wash face,To take a shower,To brush teeth,To wash hands,B,To wash face is 洗脸 (xǐ liǎn),Correct! 洗澡 (xǐ zǎo) means 'to take a shower/bath',To brush teeth is 刷牙 (shuā yá),To wash hands is 洗手 (xǐ shǒu),phrase;hygiene,1
dailyactions2-010,vocab,Daily Actions,Daily Routines,HSK1,dú shū — 读书,What does this mean?,To write,To study,To read,To learn,C,To write is 写 (xiě),To study is 学习 (xué xí),Correct! 读书 (dú shū) means 'to read' or 'to study',To learn is 学 (xué),phrase;education,1
dailyactions2-011,vocab,Daily Actions,Daily Routines,HSK1,zuò fàn — 做饭,What does this mean?,To eat,To cook,To order food,To serve food,B,To eat is 吃 (chī) or 吃饭 (chī fàn),Correct! 做饭 (zuò fàn) means 'to cook',To order food is 点菜 (diǎn cài),To serve food is 上菜 (shàng cài),phrase;food,1
dailyactions2-012,vocab,Daily Actions,Daily Routines,HSK1,xià bān — 下班,What does this mean?,To go to work,To finish work,To start work,To work,B,To go to work is 上班 (shàng bān),Correct! 下班 (xià bān) means 'to finish work/get off work',To start work is 上班 (shàng bān),To work is 工作 (gōng zuò),phrase;work,1
dailyactions2-013,vocab,Daily Actions,Daily Routines,HSK1,chū qù — 出去,What does this mean?,To come in,To go out,To come back,To arrive,B,To come in is 进来 (jìn lái),Correct! 出去 (chū qù) means 'to go out',To come back is 回来 (huí lái),To arrive is 到 (dào),phrase;movement,1
dailyactions2-014,vocab,Daily Actions,Daily Routines,HSK1,dào — 到,What does this mean?,To leave,To go,To arrive,To depart,C,To leave is 离开 (lí kāi) or 走 (zǒu),To go is 去 (qù),Correct! 到 (dào) means 'to arrive',To depart is 出发 (chū fā),verb;movement,1
dailyactions2-015,vocab,Daily Actions,Daily Routines,HSK1,chī wǔ fàn — 吃午饭,What does this mean?,To eat breakfast,To eat snack,To eat lunch,To eat dinner,C,To eat breakfast is 吃早饭 (chī zǎo fàn),To eat snack is 吃零食 (chī líng shí),Correct! 吃午饭 (chī wǔ fàn) means 'to eat lunch',To eat dinner is 吃晚饭 (chī wǎn fàn),phrase;food;daily routine,1
dailyactions3-001,vocab,Daily Actions,Needs & Wants,HSK1,xū yào — 需要,What does this mean?,To need,To want,To have,To like,A,Correct! 需要 (xū yào) means 'to need',To want is 要 (yào) or 想要 (xiǎng yào),To have is 有 (yǒu),To like is 喜欢 (xǐ huān),verb;need,2
dailyactions3-002,vocab,Daily Actions,Needs & Wants,HSK1,yào — 要,What does this mean?,To have,To like,To want,To need,C,To have is 有 (yǒu),To like is 喜欢 (xǐ huān),Correct! 要 (yào) means 'to want' or 'will',To need is 需要 (xū yào),verb;want,1
dailyactions3-003,vocab,Daily Actions,Needs & Wants,HSK1,néng — 能,What does this mean?,To must,To should,To can/be able to,To may,C,Must is 必须 (bì xū),Should is 应该 (yīng gāi),Correct! 能 (néng) means 'can/be able to',May is 可能 (kě néng) or 可以 (kě yǐ),modal verb;ability,1
dailyactions3-004,vocab,Daily Actions,Needs & Wants,HSK1,kě yǐ — 可以,What does this mean?,Must,Can/may,Should,Will,B,Must is 必须 (bì xū),Correct! 可以 (kě yǐ) means 'can/may' (permission),Should is 应该 (yīng gāi),Will is 会 (huì) or 要 (yào),modal verb;permission,1
dailyactions3-005,vocab,Daily Actions,Needs & Wants,HSK1,huì — 会,What does this mean?,To can (able to),To will/know how to,To may,To must,B,To can (able to) is 能 (néng),Correct! 会 (huì) means 'will' or 'know how to',To may is 可以 (kě yǐ),To must is 必须 (bì xū),modal verb;ability,1
dailyactions3-006,vocab,Daily Actions,Needs & Wants,HSK1,bù yào — 不要,What does this mean?,To want,To need,Don't want/don't,Can't,C,To want is 要 (yào),To need is 需要 (xū yào),Correct! 不要 (bù yào) means 'don't want' or 'don't',Can't is 不能 (bù néng),phrase;negation,1
dailyactions3-007,vocab,Daily Actions,Needs & Wants,HSK1,bù xǐ huān — 不喜欢,What does this mean?,To like,Don't like,To hate,Don't want,B,To like is 喜欢 (xǐ huān),Correct! 不喜欢 (bù xǐ huān) means 'don't like',To hate is 讨厌 (tǎo yàn),Don't want is 不要 (bù yào),phrase;emotion;negation,1
dailyactions3-008,vocab,Daily Actions,Needs & Wants,HSK1,bāng zhù — 帮助,What does this mean?,To need,To ask,To help,To teach,C,To need is 需要 (xū yào),To ask is 问 (wèn),Correct! 帮助 (bāng zhù) means 'to help',To teach is 教 (jiāo),verb;help,1
dailyactions3-009,vocab,Daily Actions,Needs & Wants,HSK1,dǒng — 懂,What does this mean?,To know,To understand,To think,To remember,B,To know is 知道 (zhī dào),Correct! 懂 (dǒng) means 'to understand',To think is 想 (xiǎng),To remember is 记得 (jì de),verb;understanding,1
dailyactions3-010,vocab,Daily Actions,Needs & Wants,HSK1,bù dǒng — 不懂,What does this mean?,To understand,To know,Don't understand,Don't know,C,To understand is 懂 (dǒng),To know is 知道 (zhī dào),Correct! 不懂 (bù dǒng) means 'don't understand',Don't know is 不知道 (bù zhī dào),phrase;understanding;negation,1
dailyactions3-011,vocab,Daily Actions,Needs & Wants,HSK1,zhī dào — 知道,What does this mean?,To understand,To think,To know,To remember,C,To understand is 懂 (dǒng),To think is 想 (xiǎng),Correct! 知道 (zhī dào) means 'to know',To remember is 记得 (jì de),verb;knowledge,1
dailyactions3-012,vocab,Daily Actions,Needs & Wants,HSK1,yǒu shí jiān — 有时间,What does this mean?,No time,Have time,Need time,What time,B,No time is 没时间 (méi shí jiān),Correct! 有时间 (yǒu shí jiān) means 'have time',Need time is 需要时间 (xū yào shí jiān),What time is 几点 (jǐ diǎn),phrase;time,1
dailyactions3-013,vocab,Daily Actions,Needs & Wants,HSK1,méi shí jiān — 没时间,What does this mean?,Have time,What time,No time,Need time,C,Have time is 有时间 (yǒu shí jiān),What time is 几点 (jǐ diǎn),Correct! 没时间 (méi shí jiān) means 'no time',Need time is 需要时间 (xū yào shí jiān),phrase;time;negation,1
dailyactions3-014,vocab,Daily Actions,Needs & Wants,HSK1,hǎo — 好,What does this mean?,Bad,Okay/good,Very,Not good,B,Bad is 坏 (huài) or 不好 (bù hǎo),Correct! 好 (hǎo) means 'okay/good',Very is 很 (hěn),Not good is 不好 (bù hǎo),adjective;common,1
dailyactions3-015,vocab,Daily Actions,Needs & Wants,HSK1,xiǎng yào — 想要,What does this mean?,To need,To have,To want,Don't want,C,To need is 需要 (xū yào),To have is 有 (yǒu),Correct! 想要 (xiǎng yào) means 'to want' (desire),Don't want is 不要 (bù yào),phrase;want,1
dailyactions4-001,vocab,Daily Actions,Simple Objects,HSK1,shuǐ — 水,What does this mean?,Tea,Water,Juice,Milk,B,Tea is 茶 (chá),Correct! 水 (shuǐ) means 'water',Juice is 果汁 (guǒ zhī),Milk is 牛奶 (niú nǎi),noun;drink,1
dailyactions4-002,vocab,Daily Actions,Simple Objects,HSK1,fàn — 饭,What does this mean?,Bread,Noodles,Rice/meal,Dish,C,Bread is 面包 (miàn bāo),Noodles is 面条 (miàn tiáo),Correct! 饭 (fàn) means 'rice' or 'meal',Dish is 菜 (cài),noun;food,1
dailyactions4-003,vocab,Daily Actions,Simple Objects,HSK1,shǒu jī — 手机,What does this mean?,Computer,Phone/cellphone,Tablet,Camera,B,Computer is 电脑 (diàn nǎo),Correct! 手机 (shǒu jī) means 'phone/cellphone',Tablet is 平板电脑 (píng bǎn diàn nǎo),Camera is 相机 (xiàng jī),noun;technology,1
dailyactions4-004,vocab,Daily Actions,Simple Objects,HSK1,qián — 钱,What does this mean?,Money,Card,Wallet,Price,A,Correct! 钱 (qián) means 'money',Card is 卡 (kǎ),Wallet is 钱包 (qián bāo),Price is 价格 (jià gé),noun;money,1
dailyactions4-005,vocab,Daily Actions,Simple Objects,HSK1,chē — 车,What does this mean?,Bicycle,Train,Car/vehicle,Bus,C,Bicycle is 自行车 (zì xíng chē),Train is 火车 (huǒ chē),Correct! 车 (chē) means 'car/vehicle',Bus is 公交车 (gōng jiāo chē),noun;transport,1
dailyactions4-006,vocab,Daily Actions,Simple Objects,HSK1,gōng jiāo chē — 公交车,What does this mean?,Taxi,Train,Bus,Subway,C,Taxi is 出租车 (chū zū chē),Train is 火车 (huǒ chē),Correct! 公交车 (gōng jiāo chē) means 'bus',Subway is 地铁 (dì tiě),noun;transport,1
dailyactions4-007,vocab,Daily Actions,Simple Objects,HSK1,diàn nǎo — 电脑,What does this mean?,Phone,Computer,TV,Tablet,B,Phone is 手机 (shǒu jī),Correct! 电脑 (diàn nǎo) means 'computer',TV is 电视 (diàn shì),Tablet is 平板电脑 (píng bǎn diàn nǎo),noun;technology,1
dailyactions4-008,vocab,Daily Actions,Simple Objects,HSK1,shū — 书,What does this mean?,Notebook,Book,Magazine,Paper,B,Notebook is 笔记本 (bǐ jì běn),Correct! 书 (shū) means 'book',Magazine is 杂志 (zá zhì),Paper is 纸 (zhǐ),noun;education,1
dailyactions4-009,vocab,Daily Actions,Simple Objects,HSK1,zhuō zi — 桌子,What does this mean?,Chair,Desk,Table,Shelf,C,Chair is 椅子 (yǐ zi),Desk is also 桌子 or 书桌 (shū zhuō),Correct! 桌子 (zhuō zi) means 'table',Shelf is 架子 (jià zi),noun;furniture,1
dailyactions4-010,vocab,Daily Actions,Simple Objects,HSK1,yǐ zi — 椅子,What does this mean?,Table,Sofa,Chair,Bench,C,Table is 桌子 (zhuō zi),Sofa is 沙发 (shā fā),Correct! 椅子 (yǐ zi) means 'chair',Bench is 长凳 (cháng dèng),noun;furniture,1
dailyactions4-011,vocab,Daily Actions,Simple Objects,HSK1,chuáng — 床,What does this mean?,Sofa,Bed,Chair,Pillow,B,Sofa is 沙发 (shā fā),Correct! 床 (chuáng) means 'bed',Chair is 椅子 (yǐ zi),Pillow is 枕头 (zhěn tou),noun;furniture,1
dailyactions4-012,vocab,Daily Actions,Simple Objects,HSK1,mén — 门,What does this mean?,Window,Wall,Door,Gate,C,Window is 窗户 (chuāng hu),Wall is 墙 (qiáng),Correct! 门 (mén) means 'door',Gate is also 门 (mén) or 大门 (dà mén),noun;house,1
dailyactions4-013,vocab,Daily Actions,Simple Objects,HSK1,diàn shì — 电视,What does this mean?,Computer,Radio,TV,Phone,C,Computer is 电脑 (diàn nǎo),Radio is 收音机 (shōu yīn jī),Correct! 电视 (diàn shì) means 'TV',Phone is 手机 (shǒu jī) or 电话 (diàn huà),noun;technology,1
dailyactions4-014,vocab,Daily Actions,Simple Objects,HSK1,bāo — 包,What does this mean?,Wallet,Bag,Pocket,Box,B,Wallet is 钱包 (qián bāo),Correct! 包 (bāo) means 'bag',Pocket is 口袋 (kǒu dài),Box is 盒子 (hé zi) or 箱子 (xiāng zi),noun;object,1
dailyactions4-015,vocab,Daily Actions,Simple Objects,HSK1,yào shi — 钥匙,What does this mean?,Lock,Key,Card,Wallet,B,Lock is 锁 (suǒ),Correct! 钥匙 (yào shi) means 'key',Card is 卡 (kǎ),Wallet is 钱包 (qián bāo),noun;object,1
simplesentences1-001,vocab,Simple Sentences,Daily Actions,HSK1,wǒ huí jiā — 我回家,What does this mean?,I leave home,I go home,I arrive home,You go home,B,To leave home is 我离开家 (wǒ lí kāi jiā),Correct! 我回家 (wǒ huí jiā) means 'I go home',To arrive home is 我到家 (wǒ dào jiā),You go home is 你回家 (nǐ huí jiā),sentence;daily life,1
simplesentences1-002,vocab,Simple Sentences,Daily Actions,HSK1,nǐ shàng bān — 你上班,What does this mean?,I go to work,You finish work,You go to work,He goes to work,C,I go to work is 我上班 (wǒ shàng bān),You finish work is 你下班 (nǐ xià bān),Correct! 你上班 (nǐ shàng bān) means 'You go to work',He goes to work is 他上班 (tā shàng bān),sentence;work,1
simplesentences1-003,vocab,Simple Sentences,Daily Actions,HSK1,tā chī zǎo fàn — 他吃早饭,What does this mean?,He/She cooks breakfast,He/She eats breakfast,He/She eats lunch,I eat breakfast,B,He/She cooks breakfast is 他/她做早饭 (tā zuò zǎo fàn),Correct! 他吃早饭 (tā chī zǎo fàn) means 'He/She eats breakfast',He/She eats lunch is 他/她吃午饭 (tā chī wǔ fàn),I eat breakfast is 我吃早饭 (wǒ chī zǎo fàn),sentence;food,1
simplesentences1-004,vocab,Simple Sentences,Daily Actions,HSK1,tā hē shuǐ — 她喝水,What does this mean?,You drink water,He/She needs water,He/She drinks water,I drink water,C,You drink water is 你喝水 (nǐ hē shuǐ),He/She needs water is 他/她需要水 (tā xū yào shuǐ),"Correct! 她喝水 (tā hē shuǐ) means 'He/She drinks water'. In speech, 他 and 她 are both pronounced tā.",I drink water is 我喝水 (wǒ hē shuǐ),sentence;daily life,1
simplesentences1-005,vocab,Simple Sentences,Daily Actions,HSK1,wǒ zuò gōng jiāo chē — 我坐公交车,What does this mean?,I drive the bus,I wait for the bus,You take the bus,I take the bus,D,To drive the bus is 我开公交车 (wǒ kāi gōng jiāo chē),I wait for the bus is 我等公交车 (wǒ děng gōng jiāo chē),You take the bus is 你坐公交车 (nǐ zuò gōng jiāo chē),Correct! 我坐公交车 (wǒ zuò gōng jiāo chē) means 'I take the bus',sentence;transport,1
